"Criteria ID","Name"
"1013153","Winfield"
"1013154","York"
"1013156","Adona"
"1013157","Alexander"
"1013158","Alma"
"1013159","Altheimer"
"1013160","Amity"
"1013161","Arkadelphia"
"1013162","Armorel"
"1013163","Ash Flat"
"1013164","Ashdown"
"1013165","Augusta"
"1013166","Bald Knob"
"1013167","Barling"
"1013168","Batesville"
"1013169","Bauxite"
"1013170","Bay"
"1013171","Beebe"
"1013172","Bella Vista"
"1013173","Benton"
"1013174","Bentonville"
"1013175","Berryville"
"1013176","Bigelow"
"1013177","Blytheville"
"1013178","Booneville"
"1013179","Bradford"
"1013180","Branch"
"1013181","Brinkley"
"1013182","Brockwell"
"1013183","Brookland"
"1013184","Bryant"
"1013185","Burdette"
"1013186","Cabot"
"1013187","Calico Rock"
"1013188","Camden"
"1013189","Carlisle"
"1013190","Carthage"
"1013191","Cave City"
"1013192","Center Ridge"
"1013193","Charleston"
"1013194","Charlotte"
"1013195","Cherokee Village"
"1013196","Clarendon"
"1013197","Clarksville"
"1013198","Clinton"
"1013199","Compton"
"1013200","Conway"
"1013201","Corning"
"1013202","Crossett"
"1013203","Danville"
"1013204","Dardanelle"
"1013205","De Queen"
"1013206","DeWitt"
"1013207","Decatur"
"1013208","Dermott"
"1013209","Des Arc"
"1013210","Dumas"
"1013211","Dyess"
"1013212","El Dorado"
"1013213","Elm Springs"
"1013214","England"
"1013215","Enola"
"1013216","Eureka Springs"
"1013217","Fairfield Bay"
"1013218","Farmington"
"1013219","Fayetteville"
"1013220","Flippin"
"1013221","Floral"
"1013222","Fordyce"
"1013223","Forrest City"
"1013224","Fountain Hill"
"1013225","Friendship"
"1013226","Fort Smith"
"1013227","Gassville"
"1013228","Gentry"
"1013229","Gillham"
"1013230","Glenwood"
"1013231","Gould"
"1013232","Grady"
"1013233","Gravette"
"1013234","Greenbrier"
"1013235","Greenwood"
"1013236","Guion"
"1013237","Hackett"
"1013238","Hamburg"
"1013239","Hardy"
"1013240","Harrisburg"
"1013241","Harrison"
"1013242","Hartford"
"1013243","Hattieville"
"1013244","Hazen"
"1013245","Heber Springs"
"1013246","Hector"
"1013247","Helena"
"1013248","Higden"
"1013249","Hope"
"1013250","Hot Springs National Park"
"1013251","Hot Springs Village"
"1013252","Hoxie"
"1013253","Humphrey"
"1013254","Huntsville"
"1013255","Imboden"
"1013256","Jacksonville"
"1013257","Jasper"
"1013258","Jessieville"
"1013259","Joiner"
"1013260","Jonesboro"
"1013261","Keiser"
"1013262","Kensett"
"1013263","Lake Village"
"1013264","Lavaca"
"1013265","Lead Hill"
"1013266","Lepanto"
"1013267","Leslie"
"1013268","Little Rock"
"1013269","Little Rock Air Force Base"
"1013270","Lockesburg"
"1013271","London"
"1013272","Lonoke"
"1013273","Lowell"
"1013274","Luxora"
"1013275","Lynn"
"1013276","Mabelvale"
"1013277","Magnolia"
"1013278","Malvern"
"1013279","Mammoth Spring"
"1013280","Mansfield"
"1013281","Marianna"
"1013282","Marion"
"1013283","Marked Tree"
"1013284","Marmaduke"
"1013285","Marshall"
"1013286","Maumelle"
"1013287","Maynard"
"1013288","McCrory"
"1013289","McGehee"
"1013290","McRae"
"1013291","Melbourne"
"1013292","Mena"
"1013293","Monticello"
"1013294","Morrilton"
"1013295","Mount Holly"
"1013296","Mount Ida"
"1013297","Mount Pleasant"
"1013298","Mount Vernon"
"1013299","Mountain Home"
"1013300","Mountain View"
"1013301","Mountainburg"
"1013302","Nashville"
"1013303","Newark"
"1013304","Newport"
"1013305","Norfork"
"1013306","Norman"
"1013307","North Little Rock"
"1013308","Osceola"
"1013309","Ozark"
"1013310","Palestine"
"1013311","Paragould"
"1013312","Paris"
"1013313","Pea Ridge"
"1013314","Pearcy"
"1013315","Piggott"
"1013316","Pine Bluff"
"1013317","Plainview"
"1013318","Plumerville"
"1013319","Pocahontas"
"1013320","Poplar Grove"
"1013321","Pottsville"
"1013322","Prairie Grove"
"1013323","Prescott"
"1013324","Quitman"
"1013325","Rector"
"1013326","Rison"
"1013327","Rogers"
"1013328","Romance"
"1013329","Rosston"
"1013330","Russellville"
"1013331","Salem"
"1013333","Scotland"
"1013334","Searcy"
"1013335","Sheridan"
